name,location,rate,approx_cost(for two people),cuisines,votes
Chung Wah,Bannerghatta Road,4.0,800.0,"Chinese, Thai, Momos, Vietnamese",536
Leon Grill,Indiranagar,4.2,500.0,"Burger, Turkish, Arabian, Fast Food, Salad, Healthy Food, Desserts",315
Sizzling Pasto,Marathahalli,4.1,1100.0,"Continental, Chinese, North Indian",99
Chinita Real Mexican Food,Koramangala 5th Block,4.5,1200.0,Mexican,729
Unicorn Bar & Restaurant,Infantry Road,3.9,800.0,"Seafood, North Indian, Chinese",119
BIB-Breakfast in the Box,Whitefield,3.7,600.0,"American, Sandwich",61
Imperial Restaurant,Koramangala 6th Block,3.6,800.0,"Seafood, Biryani, South Indian, Chettinad, Chinese, Arabian, Andhra, Kerala",241
Memories of China - Taj MG Road Bengaluru,MG Road,4.3,3000.0,"Chinese, Momos",457
Spicy Kitchen,HSR,3.8,500.0,"Andhra, North Indian",64
Tiwari's,Jayanagar,3.8,200.0,"North Indian, Street Food",69
Shiv Shakthi,HSR,4.0,100.0,"Street Food, North Indian",175
La Grande Cafe,Jayanagar,3.8,400.0,Cafe,46
Ragoo's,Jayanagar,3.9,800.0,"Italian, Pizza, North Indian, Salad",233
Munchies,Brigade Road,3.9,250.0,"Fast Food, Bakery",65
A Hole Lotta Love Cafe,Koramangala 5th Block,4.3,600.0,"Cafe, American, Burger, Sandwich, Beverages",2873
Cafe Mangii,Lavelle Road,4.3,1600.0,"Italian, Continental, Pizza",1053
The Belgian Waffle Co.,Indiranagar,4.0,400.0,Desserts,71
RS Shiv Sagar,Basavanagudi,3.7,450.0,"North Indian, Chinese, South Indian, Fast Food, Juices",217
The Fatty Bao - Asian Gastro Bar,Indiranagar,4.6,1200.0,"Asian, Thai, Vietnamese, Malaysian, Beverages",3760
Fusion Lounge,Brigade Road,2.0,1500.0,Finger Food,396
Rajanna Military Hotel,Jayanagar,4.1,400.0,"Biryani, Fast Food",171
